nome, ocorrências, tipo, processo
AL/BAHIA,98,INTDO,ADI5014
AL/BAHIA,98,INTDO,ADI5016
AL/BAHIA,98,INTDO,ADI5112
AL/BAHIA,98,INTDO,ADI5124
AL/BAHIA,98,INTDO,ADI5142
AL/BAHIA,98,INTDO,ADI5155
AL/BAHIA,98,INTDO,ADI5210
AL/BAHIA,98,INTDO,ADI5231
AL/BAHIA,98,INTDO,ADI5253
AL/BAHIA,98,INTDO,ADI5346
AL/BAHIA,98,INTDO,ADI5380
AL/BAHIA,98,INTDO,ADI5409
AL/BAHIA,98,INTDO,ADI5473
AL/BAHIA,98,INTDO,ADI5493
AL/BAHIA,98,INTDO,ADI5587
AL/BAHIA,98,INTDO,ADI5610
AL/BAHIA,98,INTDO,ADI5631
AL/BAHIA,98,INTDO,ADI5710
AL/BAHIA,98,INTDO,ADI5720
AL/BAHIA,98,INTDO,ADI5776
AL/BAHIA,98,INTDO,ADI5783
AL/BAHIA,98,INTDO,ADI6122
AL/BAHIA,98,INTDO,ADI6155
AL/BAHIA,98,INTDO,ADI6167
AL/BAHIA,98,INTDO,ADI6219
AL/BAHIA,98,INTDO,ADI6339
AL/BAHIA,98,INTDO,ADI6483
AL/BAHIA,98,INTDO,ADI6513
AL/BAHIA,98,INTDO,ADI6591
AL/BAHIA,98,INTDO,ADI6651
AL/BAHIA,98,INTDO,ADPF0207
AL/BAHIA,98,INTDO,ADPF0713
AL/BAHIA,98,INTDO,ADPF0761
AL/CEARA,122,INTDO,ADI0136
AL/CEARA,122,INTDO,ADI0143
AL/CEARA,122,INTDO,ADI0145
AL/CEARA,122,INTDO,ADI0158
AL/CEARA,122,INTDO,ADI0188
AL/CEARA,122,INTDO,ADI0251
AL/CEARA,122,INTDO,ADI0279
AL/CEARA,122,INTDO,ADI0289
AL/CEARA,122,INTDO,ADI0307
AL/CEARA,122,INTDO,ADI0391
AL/CEARA,122,INTDO,ADI0429
AL/CEARA,122,INTDO,ADI0623
AL/CEARA,122,INTDO,ADI0702
AL/CEARA,122,INTDO,ADI0749
AL/CEARA,122,INTDO,ADI1000
AL/CEARA,122,INTDO,ADI1443
AL/CEARA,122,INTDO,ADI1774
AL/CEARA,122,INTDO,ADI1780
AL/CEARA,122,INTDO,ADI1837
AL/CEARA,122,INTDO,ADI2142
AL/CEARA,122,INTDO,ADI2184
AL/CEARA,122,INTDO,ADI2212
AL/CEARA,122,INTDO,ADI2361
AL/CEARA,122,INTDO,ADI2424
AL/CEARA,122,INTDO,ADI2569
AL/CEARA,122,INTDO,ADI2580
AL/CEARA,122,INTDO,ADI2648
AL/CEARA,122,INTDO,ADI2664
AL/CEARA,122,INTDO,ADI2824
AL/CEARA,122,INTDO,ADI2981
AL/CEARA,122,INTDO,ADI2982
AL/CEARA,122,INTDO,ADI2983
AL/CEARA,122,INTDO,ADI2989
AL/CEARA,122,INTDO,ADI3000
AL/CEARA,122,INTDO,ADI3016
AL/CEARA,122,INTDO,ADI3021
AL/CEARA,122,INTDO,ADI3076
AL/CEARA,122,INTDO,ADI3078
AL/CEARA,122,INTDO,ADI3085
AL/CEARA,122,INTDO,ADI3086
AL/CEARA,122,INTDO,ADI3094
